game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_mlbam_id,home_team_lookup_player_name,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,home_team_total_pitches,home_team_recent_home_runs,home_team_recent_strikeouts,home_team_HR,home_team_SO,home_team_PA,home_team_AVG,home_team_SLG,away_team_mlbam_id,away_team_lookup_player_name,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,away_team_total_pitches,away_team_recent_home_runs,away_team_recent_strikeouts,away_team_HR,away_team_SO,away_team_PA,away_team_AVG,away_team_SLG,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct,winner,actual_winner
2025-06-15,REDS,TIGERS,WADE MILEY,TYLER HOLTON,188.0,87.3,2279.26,6.45,10.0,0.0,68.59,11.42,80.7,7.14,13.0,205.0,88.39,2208.68,6.11,7.0,0.0,70.66,17.47,84.74,7.24,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDS,REDS
2025-06-15,BLUE JAYS,PHILLIES,JOSE BERRIOS,ZACK WHEELER,509.0,92.21,2461.82,7.19,36.0,0.0,70.33,17.73,80.18,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHILLIES,ROCKIES
2025-06-15,YANKEES,RED SOX,MAX FRIED,BRAYAN BELLO,555.0,91.63,2236.82,6.39,28.0,0.0,70.16,10.04,81.63,7.2,6.0,560.0,88.99,2425.74,6.49,38.0,0.0,69.92,10.86,81.11,7.01,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED SOX,ORIOLES
2025-06-15,ANGELS,ORIOLES,YUSEI KIKUCHI,SCOTT BLEWETT,197.0,87.66,1978.97,7.13,8.0,0.0,68.92,12.72,85.41,7.37,8.0,596.0,89.14,2162.4,6.75,34.0,0.0,71.3,20.45,83.73,7.13,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIOLES,RED SOX
2025-06-15,MARLINS,NATIONALS,EURY PEREZ,MACKENZIE GORE,568.0,90.03,2257.1,6.9,43.0,0.0,69.24,23.67,83.74,7.04,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARLINS,PHILLIES
2025-06-15,ROCKIES,BRAVES,AUSTIN GOMBER,GRANT HOLMES,547.0,89.56,2603.5,6.01,48.0,0.0,68.88,13.81,82.82,7.33,6.0,76.0,82.1,1872.51,6.64,4.0,0.0,71.62,23.9,78.56,7.62,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKIES,MARLINS
2025-06-15,RAYS,METS,SHANE BAZ,GRIFFIN CANNING,501.0,90.23,2177.17,5.89,21.0,0.0,70.2,12.24,84.42,7.32,6.0,531.0,91.72,2485.84,6.46,25.0,0.0,70.66,15.66,85.09,7.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAYS,RAYS
2025-06-15,CARDINALS,BREWERS,MILES MIKOLAS,QUINN PRIESTER,493.0,90.45,2285.06,6.42,22.0,0.0,70.78,8.07,83.56,7.27,6.0,492.0,87.05,2238.97,6.26,22.0,0.0,70.91,20.11,83.99,7.01,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BREWERS,ASTROS
2025-06-15,TWINS,ASTROS,SIMEON WOODS RICHARDSON,BRANDON WALTER,267.0,85.5,2274.39,6.58,19.0,0.0,70.82,7.18,83.4,7.36,3.0,151.0,86.77,2279.04,6.83,8.0,0.0,70.51,16.88,85.33,7.24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTROS,ATHLETICS
2025-06-15,ATHLETICS,ROYALS,JEFFREY SPRINGS,NOAH CAMERON,522.0,85.52,2239.64,6.22,29.0,0.0,69.61,13.21,84.65,7.39,6.0,541.0,85.02,1993.04,6.29,30.0,0.0,69.41,18.11,83.89,7.46,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,44.0,-113.0,W3,73.0,0.397,ATHLETICS,BREWERS
